"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Sep 27 12:39:18 GMT 2023","Wed Sep 27 12:39:51 GMT 2023","33110","Mobile Safari","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:56 GMT 2023","33274","firefox","toDo.spec.ts","","","","Add a new ToDo task",""
"broken","Wed Sep 27 12:39:09 GMT 2023","Wed Sep 27 12:39:45 GMT 2023","35240","Mobile Chrome","toDo.spec.ts","","","","Delete a ToDo task",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:38 GMT 2023","14591","Mobile Chrome","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:57 GMT 2023","34163","webkit","user.spec.ts","","","","Register a new user in ToDo web application",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:38 GMT 2023","15449","chromium","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:59 GMT 2023","35449","firefox","user.spec.ts","","","","Register a new user in ToDo web application",""
"failed","Wed Sep 27 12:38:20 GMT 2023","Wed Sep 27 12:38:32 GMT 2023","11961","Mobile Safari","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:39 GMT 2023","16518","chromium","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Wed Sep 27 12:39:16 GMT 2023","Wed Sep 27 12:39:49 GMT 2023","32783","chromium","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Wed Sep 27 12:38:45 GMT 2023","Wed Sep 27 12:39:18 GMT 2023","32908","firefox","toDo.spec.ts","","","","Delete a ToDo task",""
"broken","Wed Sep 27 12:39:13 GMT 2023","Wed Sep 27 12:39:45 GMT 2023","32034","Mobile Safari","user.spec.ts","","","","Register a new user in ToDo web application",""
"broken","Wed Sep 27 12:39:06 GMT 2023","Wed Sep 27 12:39:42 GMT 2023","35630","webkit","toDo.spec.ts","","","","Delete a ToDo task",""
"failed","Wed Sep 27 12:38:13 GMT 2023","Wed Sep 27 12:38:27 GMT 2023","13640","webkit","toDo.spec.ts","","","","Add a new ToDo task",""
"passed","Wed Sep 27 12:36:23 GMT 2023","Wed Sep 27 12:36:38 GMT 2023","15087","Mobile Chrome","user.spec.ts","","","","Register a new user in ToDo web application",""
